Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
Structural_Only,PaCMAP,DBSCAN,0.3240397630801731,3,0.5918392539024353,0.35832263166714057
Structural_Only,KMeans,KMeans_4,0.22627316625551752,4,0.5706007480621338,0.6544982696120457
Structural_Only,KMeans,KMeans_6,0.13335717152520776,6,0.586529016494751,0.5066260199193923
Structural_Only,Hierarchical,Hierarchical_4,0.16226483668702962,4,0.5604479908943176,0.6178332947688305
Structural_Only,PaCMAP,HDBSCAN,0.0486491881692723,26,0.7253633737564087,0.35550967470393136
Structural_Only,PCA,DBSCAN,-0.011620014498895475,1,,
Structural_Only,KMeans,KMeans_4,0.15639836298301804,4,0.5327752432689492,0.6188310701751729
Structural_Only,KMeans,KMeans_6,0.0890561140838903,6,0.46656256753074804,0.5878633788041296
Structural_Only,Hierarchical,Hierarchical_4,0.14879129896872978,4,0.5215789137648978,0.6260270249264774
Structural_Only,PCA,HDBSCAN,0.12623683211706582,18,0.6385597764890998,0.4109205405736056
Structural_Only,t-SNE,DBSCAN,0.09812914710066595,7,0.3367727994918823,0.726309779534431
Structural_Only,KMeans,KMeans_4,0.17161133923013264,4,0.5560934543609619,0.6155421031202263
Structural_Only,KMeans,KMeans_6,0.12721674346238515,6,0.5066707134246826,0.665293165395213
Structural_Only,Hierarchical,Hierarchical_4,0.17470953311627624,4,0.5481117963790894,0.623875000828951
Structural_Only,t-SNE,HDBSCAN,0.13215753023670943,6,0.32547104358673096,0.6405325116844929
Structural_Only,UMAP,DBSCAN,0.13271187428678133,4,0.7952138185501099,0.23778622928910054
Structural_Only,KMeans,KMeans_4,0.13271187428678133,4,0.7952138185501099,0.23778622928910054
Structural_Only,KMeans,KMeans_6,0.12756401547360985,6,0.6747681498527527,0.38379171511817495
Structural_Only,Hierarchical,Hierarchical_4,0.13271187428678133,4,0.7952138185501099,0.23778622928910054
Structural_Only,UMAP,HDBSCAN,0.03482848088623854,26,0.7442383170127869,0.33317575684281314
Functional_Only,PaCMAP,DBSCAN,0.09576969834336556,10,0.8415137529373169,0.18164896526408483
Functional_Only,KMeans,KMeans_4,0.14651418560519777,4,0.6066507697105408,0.621978247603376
Functional_Only,KMeans,KMeans_6,0.1055781701672225,6,0.6745863556861877,0.4404603201798582
Functional_Only,Hierarchical,Hierarchical_4,0.08315191963693742,4,0.61333829164505,0.6224350102375296
Functional_Only,PaCMAP,HDBSCAN,0.06116587118532244,28,0.8212644457817078,0.24761769104593281
Functional_Only,PCA,DBSCAN,-0.026374114496547862,2,0.7025905285271385,0.29236499469230876
Functional_Only,KMeans,KMeans_4,0.3664034103930264,4,0.6100255706041022,0.5499630935146931
Functional_Only,KMeans,KMeans_6,0.23262321201268715,6,0.6075586491301647,0.5757618695471814
Functional_Only,Hierarchical,Hierarchical_4,0.2943561811932943,4,0.5511707704439286,0.5898054913981275
Functional_Only,PCA,HDBSCAN,0.05693437629661666,23,0.8906530189047158,0.2046733558566568
Functional_Only,t-SNE,DBSCAN,0.28317510967288845,17,1.0,3.715731269322866e-07
Functional_Only,KMeans,KMeans_4,0.13983782659867214,4,0.42305999994277954,0.815993069998053
Functional_Only,KMeans,KMeans_6,0.16750482535162667,6,0.4534551799297333,0.7297468752736497
Functional_Only,Hierarchical,Hierarchical_4,0.19059421617450173,4,0.4308663010597229,0.8545956252864801
Functional_Only,t-SNE,HDBSCAN,0.08116923017012415,20,0.6467589139938354,0.4703195109468856
Functional_Only,UMAP,DBSCAN,0.17233974049548945,11,0.8899222016334534,0.16864109389982473
Functional_Only,KMeans,KMeans_4,0.1992749171506816,4,0.582134485244751,0.6224041188684809
Functional_Only,KMeans,KMeans_6,0.22195410248519257,6,0.7374976873397827,0.38217213503166775
Functional_Only,Hierarchical,Hierarchical_4,0.03682566039915334,4,0.5969585180282593,0.5801272196335959
Functional_Only,UMAP,HDBSCAN,0.0768573377448476,22,0.8335278034210205,0.21541835330662648
MACCS_Keys,PaCMAP,DBSCAN,0.05663494505736387,9,0.8310081958770752,0.171522754459122
MACCS_Keys,KMeans,KMeans_4,0.02061393145023412,4,0.6710373163223267,0.5229755102591828
MACCS_Keys,KMeans,KMeans_6,0.08073060904350125,6,0.7479813098907471,0.3347878569923936
MACCS_Keys,Hierarchical,Hierarchical_4,0.02061393145023412,4,0.6710373163223267,0.5229755102591828
MACCS_Keys,PaCMAP,HDBSCAN,0.06431009318760143,28,0.7785518765449524,0.28794020571622975
MACCS_Keys,PCA,DBSCAN,0.4913867617264109,3,0.7037380496293776,0.33830473289695623
MACCS_Keys,KMeans,KMeans_4,0.3474199749931393,4,0.5989595145351486,0.5683864064520706
MACCS_Keys,KMeans,KMeans_6,0.3251473747310695,6,0.6187164789889623,0.6263763655157212
MACCS_Keys,Hierarchical,Hierarchical_4,0.30990803913931103,4,0.5856070053977009,0.6288505935989954
MACCS_Keys,PCA,HDBSCAN,0.08270810757674363,27,0.8006294154353233,0.2951601099213516
MACCS_Keys,t-SNE,DBSCAN,0.03731333252919705,10,1.0,2.154819972288442e-07
