Dim1,Dim2,ID,Label,Target
3.3358748,4.1745,53,4,-0.853871964
-0.05822723,7.0609894,54,7,1.381115081
3.57682,3.9188898,55,4,-1.499999995
-15.461861,14.647612,56,8,0.92890769
-12.055605,-2.5768878,57,0,0.462397998
-15.526377,14.759145,58,8,1.204119983
9.260577,-17.923403,59,1,-0.821023053
-23.42823,-4.939779,60,5,0.176091259
10.453053,-17.210148,61,1,-0.522878745
2.7177646,-4.2715273,62,6,-0.220764369
3.106148,2.5279884,63,4,-0.469800302
4.8108034,3.1529796,64,4,-0.349692477
-12.317698,-2.1722665,65,0,1.041392685
3.5666535,-3.842191,66,6,2.949877704
7.183474,2.2163801,67,3,0.667452953
-0.23537314,5.1166115,68,4,1.0
-15.576755,14.847184,69,8,2.255272505
4.407569,-0.3870709,70,6,-2.457797218
3.7612965,-2.0266395,71,6,1.113943352
-0.38461152,8.122152,72,7,1.301029996
-23.432487,-4.940363,73,5,0.716003344
-10.826365,-2.3338783,74,0,1.72427587
-12.80737,-5.1381626,75,0,1.301029996
10.006747,5.852125,76,3,-1.167491087
-12.146673,-5.459192,77,0,0.491361694
-0.8426745,9.433416,78,7,0.321184027
-11.927827,-5.401197,79,0,0.322219295
2.0796995,-6.157754,80,6,2.989894564
2.1642315,-5.283601,81,6,0.204119983
-15.479194,14.679094,82,8,0.929418926
3.343013,11.304275,83,-1,-0.72010502
3.2584403,-3.0246866,84,6,-1.191789027
2.14614,-5.783314,85,6,0.761551989
10.720854,6.1750913,86,3,0.51851394
3.8849056,-3.9072778,87,6,2.889861721
-2.5837624,6.0336614,88,-1,-0.522878745
-15.147454,14.10268,89,8,0.681241237
1.9928874,-5.364518,90,6,0.36078269
3.4779816,11.481668,91,-1,-1.995678626
10.057733,4.640571,92,3,-2.019996628
3.6736395,-3.6555407,93,6,1.980003372
0.22224864,5.2969303,94,4,0.255272505
4.346361,-0.34292045,95,6,-1.0
-15.341402,14.441827,96,8,0.568201724
-15.429763,14.59311,97,8,0.826074803
3.371356,11.30225,98,-1,-1.638272164
-12.617764,-4.8169713,99,0,1.653212514
-15.538008,14.777422,100,8,1.662757832
0.53622866,5.2931495,101,4,0.278753601
8.541347,-18.35618,102,1,-1.119758224
9.327797,4.7668004,103,3,-1.045757491
-0.3022958,5.1692257,104,4,2.079181246
-2.9417093,5.9227767,105,-1,-0.092051478
-10.959191,-2.3906019,106,0,1.819543936
-0.5560353,8.751083,107,7,0.838849091
-3.3648036,5.8674846,108,-1,1.579783597
8.662119,-18.28339,109,1,-1.01278077
0.9205202,5.288383,110,4,1.819858798
-12.455838,-2.1913688,111,0,0.949390007
1.1512961,5.3067493,112,4,1.311251729
10.599584,-17.123985,113,1,-0.48148606
8.9564085,-18.106577,114,1,-0.886056648
3.7490897,1.2902138,115,4,0.810232518
-1.0903056,10.035569,116,7,1.198657087
6.9535637,2.158542,117,3,-1.943095149
3.5774407,-2.1428843,118,6,-1.30980392
0.11424677,5.2594385,119,4,0.622214023
1.4354576,5.1564364,120,4,0.813233062
3.0106301,2.246909,121,4,-0.400116928
4.3939624,3.6668372,122,4,-1.402304814
-15.569874,14.834856,123,8,1.079181246
9.351832,5.104864,124,3,-2.490644359
-0.0007600673,7.308173,125,7,-1.22184875
2.7081199,-3.6498682,126,6,-1.281913705
8.794664,-18.201778,127,1,-0.88941029
-1.0381521,9.898066,128,7,0.653212514
3.599981,-3.1698973,129,6,1.330413773
-12.19746,-5.4244623,130,0,-0.008773924
0.9815264,5.6117153,131,4,1.653212514
3.5766466,-3.263914,132,6,0.997823081
4.2409134,-0.7659985,133,6,-2.779891912
-8.68922,-20.305693,134,2,1.643452676
3.2931526,11.250482,135,-1,-1.300162274
-0.30712146,5.1291304,136,4,1.255272505
-3.0500166,5.898019,137,-1,0.322219295
-10.799346,-2.3833723,138,0,-0.040958608
1.6861874,5.108556,139,4,-1.440093375
5.706271,1.8037932,140,3,-0.850780887
3.4698749,3.8704839,141,4,-1.494850022
3.2109566,-3.4968412,142,6,-0.168770306
2.1059089,-5.816309,143,6,0.763427994
8.564879,-18.342505,144,1,-1.010105436
-8.688231,-20.305298,145,2,0.72427587
-0.8536806,9.483846,146,7,0.342422681
-15.388297,14.519547,147,8,-0.318758763
-23.435173,-4.940326,148,5,1.51851394
-0.5450245,8.690148,149,7,1.079181246
8.530947,3.0030935,150,3,0.361727836
7.7915306,2.6365807,151,3,-2.420216403
